instnm,Institution (entity) name (HD2018),Institution name alias (HD2018),Address,City location of institution (HD2018),State abbreviation (HD2018),ZIP code (HD2018),Total price for in-state students living on campus 2018-19 (DRVIC2018),Total price for in-state students living off campus (not with family)  2018-19 (DRVIC2018),Total price for out-of-state students living off campus (not with family)  2018-19 (DRVIC2018),Total price for in-state students living off campus (with family)  2018-19 (DRVIC2018),Number of students receiving a Doctor's degree (DRVC2018),Number of students receiving a Master's degree (DRVC2018),Number of students receiving a Bachelor's degree (DRVC2018),Number of students receiving an Associate's degree (DRVC2018),Graduation rate,Percent of full-time first-time undergraduates awarded any financial aid (SFA1718),Average amount of aid awarded,Applicants total (ADM2018),Admissions total (ADM2018),Enrolled total (ADM2018)
Hastings College,Hastings College,Hastings College,710 N Turner Ave,Hastings,NE,68901,44678,44678,44678,34978,0,12,271,0,53,100,21224,1944,1248,264
Haverford College,Haverford College, ,370  Lancaster Ave,Haverford,PA,19041-1392,73902,73902,73902,57500,0,0,318,0,92,51,46252,4672,878,357
Hawaii Pacific University,Hawaii Pacific University, ,1 Aloha Tower Drive,Honolulu,HI,96813,44414,45814,45814,29534,0,244,647,74,47,98,13473,6168,4634,568
Health Career Institute,Health Career Institute, ,1764 North Congress Avenue,West Palm Beach,FL,33409-5189,,36868,36868,25780,0,0,0,84,,100,5049,11,9,9
Health Works Institute,Health Works Institute, ,407 West Main Street,Bozeman,MT,59715,,,,,,,,0,97,96,5225,10,9,7
Healthcare Training Institute,Healthcare Training Institute, ,1969 Morris Ave,Union,NJ,7083,,,,,,,,0,95,100,5725,28,22,17
Hebrew Theological College,Hebrew Theological College,HTC  TI  Teacher's Institute  Skokie Yeshiva  Blitstein Institute  Machon Torani L'Banot  Beis HaMidrash L'Torah,7135 N Carpenter Rd,Skokie,IL,60077,32194,31802,31802,19814,0,0,41,0,5,77,7077,14,13,11
Heidelberg University,Heidelberg University,Heidelburg College|Hiedelberg College|Hiedelburg College|Heidleberg College|Heidleburg College|The 'Berg|Heidelberg University|Hiedelberg University|Heidelburg University,310 E Market St,Tiffin,OH,44883-2462,44400,38968,38968,34000,0,50,219,0,50,100,19333,1757,1284,329
Hellenic College-Holy Cross Greek Orthodox School of Theology,Hellenic College-Holy Cross Greek Orthodox School of Theology, ,50 Goddard Ave,Brookline,MA,02445-7415,41282,43690,43690,27090,0,28,22,0,69,100,19787,82,34,9
Henderson State University,Henderson State University, ,1100 Henderson Street,Arkadelphia,AR,71999-0001,20996,25130,26780,14730,0,142,511,9,35,84,2685,2856,2586,853
Hendrix College,Hendrix College, ,1600 Washington Ave,Conway,AR,72032-3080,63174,60176,60176,50890,0,11,245,0,71,100,37223,1545,1115,309
Henrico County-Saint Marys Hospital School of Practical Nursing,Henrico County-Saint Marys Hospital School of Practical Nursing, ,7850 Carousel Lane,Henrico,VA,23294,,,,,,,,0,,,,82,70,48
Herzing University-Akron,Herzing University-Akron, ,1600 South Arlington Street  Suite 100,Akron,OH,44306-3931,,30119,30119,22064,0,0,12,106,26,100,6534,82,82,46
Herzing University-Atlanta,Herzing University-Atlanta, ,50 Hurt Plaza SE  Ste. 400,Atlanta,GA,30303,,30119,30119,22064,0,57,100,43,19,88,6200,135,129,58
Herzing University-Birmingham,Herzing University-Birmingham, ,280 West Valley Ave,Birmingham,AL,35209,,30119,30119,22064,0,6,12,116,50,100,8222,80,76,39
Herzing University-Brookfield,Herzing University-Brookfield, ,555 S Executive Dr,Brookfield,WI,53005,,30119,30119,22064,0,6,80,23,38,100,11911,96,95,56
Herzing University-Kenner,Herzing University-Kenner, ,2500 Williams Blvd,Kenner,LA,70062,,30119,30119,22064,0,15,40,78,24,100,6880,40,40,15
Herzing University-Kenosha,Herzing University-Kenosha, ,4006 Washington Rd,Kenosha,WI,53144,,30119,30119,22064,0,8,83,30,43,92,7812,39,34,25
Herzing University-Madison,Herzing University-Madison, ,5218 E. Terrace Dr.,Madison,WI,53718,,30119,30119,22064,0,182,243,266,26,97,4807,271,271,121
Herzing University-Minneapolis,Herzing University-Minneapolis, ,435 Ford Road  Suite 1000,St. Louis Park,MN,55426,,30119,30119,22064,0,4,59,36,60,97,8132,50,47,36
Herzing University-Winter Park,Herzing University-Winter Park, ,1865 SR 436,Winter Park,FL,32792,,30119,30119,22064,0,42,47,118,20,100,6440,68,64,42
High Point University,High Point University,HPU,One University Parkway,High Point,NC,27268,52998,50618,50618,39118,11,125,986,0,65,88,11588,10098,7770,1423
Hilbert College,Hilbert College, ,5200 S Park Ave,Hamburg,NY,14075-1597,34250,30300,30300,24900,0,32,187,3,59,99,13504,1194,998,223
Hillsdale College,Hillsdale College, ,33 E College St,Hillsdale,MI,49242,41778,41778,41778,30778,2,10,339,0,87,98,18634,2209,795,341
Hillyard Technical Center,Hillyard Technical Center,HTC/Hillyard Tech/N.S. Hillyard Technical School/N.S. Hillyard A.V.T.S.,3434 Faraon Street,Saint Joseph,MO,64506-5102,,,,,,,,0,95,88,6750,49,36,17
Hiram College,Hiram College,Hiram, ,Hiram,OH,44234-0067,49815,49053,49053,42189,0,6,242,0,58,100,25223,2687,1548,233
Hiwassee College,Hiwassee College, ,225 Hiwassee College Drive,Madisonville,TN,37354-4001,31594,33866,33866,24730,0,0,41,39,24,99,14450,340,228,65
Hobart William Smith Colleges,Hobart William Smith Colleges, ,337 Pulteney Street,Geneva,NY,14456,72040,72040,72040,57255,0,6,529,0,78,96,31464,4453,2546,611
Hodges University,Hodges University,International College,2647 Professional Circle,Naples,FL,34119-8098,,31029,31029,19581,0,81,186,119,22,81,7573,290,222,102
Hofstra University,Hofstra University, ,100 Hofstra University,Hempstead,NY,11549,63748,69531,69531,49058,383,1173,1499,0,63,97,25727,27620,17456,1555
Hollins University,Hollins University,Hollins College,7916 Williamson Rd NW,Roanoke,VA,24020,55655,53035,53035,43210,0,78,124,0,55,100,33088,3667,2344,199
Holy Cross College,Holy Cross College, ,54515 State Road 933 North,Notre Dame,IN,46556-0308,45744,42938,42938,34244,0,0,92,54,39,79,18293,597,527,178
Holy Family University,Holy Family University,Holy Family,9801 Frankford Avenue,Philadelphia,PA,19114-2009,46850,42838,42838,32776,0,343,472,15,60,100,21263,1481,1066,354
Holy Name Medical Center-Sister Claire Tynan School of Nursing,Holy Name Medical Center-Sister Claire Tynan School of Nursing, ,690 Teaneck Rd,Teaneck,NJ,07666-4246,,45658,45658,38860,,,,0,,75,4895,2,2,2
Holy Names University,Holy Names University,Holy Names College,3500 Mountain Blvd,Oakland,CA,94619-1699,57674,60802,60802,45600,0,97,104,0,48,99,32377,2076,1454,176
Hondros College of Nursing,Hondros College of Nursing, ,4140 Executive Parkway,Westerville,OH,43081,,31296,31296,24646,0,0,36,385,31,92,3739,216,142,81
Hood College,Hood College,Hood,401 Rosemont Ave,Frederick,MD,21701,56586,55708,55708,43886,0,202,285,0,66,100,29652,1562,1115,239
Hope College,Hope College, ,100 E. 8th Street  Suite 260,Holland,MI,49422-9000,47000,39910,39910,37150,0,0,684,0,79,98,17444,4362,3298,798
Hope International University,Hope International University,Hope|HIU|College of Arts and Sciences|College of Business and Management|College of Education|Pacific Christian of Ministry and Biblical Studies|College of Psychology and Counseling|Fullerton|Orange County|California|,2500 E Nutwood Ave,Fullerton,CA,92831-3199,49047,53344,53344,39682,0,113,147,4,44,98,19970,584,172,93
Houghton College,Houghton College,Houghton,1 Willard Ave,Houghton,NY,14744,45626,42888,42888,36888,0,8,218,16,71,99,17774,814,774,257
Houston Baptist University,Houston Baptist University,HBU,7502 Fondren Rd,Houston,TX,77074-3298,46340,48980,48980,39330,0,290,462,0,40,100,20395,7051,4937,531
Howard Payne University,Howard Payne University, ,1000 Fisk St.,Brownwood,TX,76801-2794,40566,38060,38060,31940,0,42,166,0,44,99,16938,1576,913,263
Howard University,Howard University,HU,2400 Sixth St NW,Washington,DC,20059-0001,44651,,,,504,313,1221,0,62,96,24005,20946,6617,1501
Hult International Business School,Hult International Business School, ,1 Education Street,Cambridge,MA,02141-1805,61250,61250,61250,44850,0,1457,88,0,,70,13243,2223,1269,244
Humboldt State University,Humboldt State University, ,1 Harpst Street,Arcata,CA,95521-8299,24811,24811,36691,11941,0,222,1942,0,52,86,9478,10957,8414,1051
Huntingdon College,Huntingdon College, ,1500 East Fairview Avenue,Montgomery,AL,36106-2148,38485,36485,36485,28735,0,0,230,0,43,100,14823,2044,1194,249
Huntington University,Huntington University, ,2303 College Ave,Huntington,IN,46750,38222,37158,37158,33708,32,36,215,3,61,99,17237,1041,866,247
Hussian College School of Art,Hussian College School of Art, ,1500 Spring Garden Street   Ste. 101,Philadelphia,PA,19130,,44967,44967,30027,0,0,12,0,64,100,8571,194,97,32
Hussian College-Relativity Campus California,Hussian College-Relativity Campus California, ,1201 W. 5th Street,Los Angeles,CA,90017-2019,,61121,61121,46252,0,0,18,0,,100,15564,250,214,108
Husson University,Husson University,Husson,1 College Circle,Bangor,ME,04401-2929,31150,31620,31620,21720,84,240,525,18,55,99,11033,2894,2396,656
Huston-Tillotson University,Huston-Tillotson University, ,900 Chicon St,Austin,TX,78702-2795,24414,24496,24496,16846,0,4,210,33,23,98,8697,3156,1480,223
Illinois College,Illinois College, ,1101 West College Ave,Jacksonville,IL,62650-2299,43870,40530,40530,34090,0,0,208,0,70,100,25396,3378,2565,294
Illinois Institute of Technology,Illinois Institute of Technology,IIT,10 West 35th Street,Chicago,IL,60616,65386,65654,65654,54854,326,1662,547,0,72,100,34691,4957,2884,608
Illinois State University,Illinois State University, ,North and School Streets,Normal,IL,61790-1000,29758,30548,42072,20920,50,673,4471,0,69,86,9572,12886,11492,3689
Illinois Wesleyan University,Illinois Wesleyan University,IWU|Wesleyan,1312 N Park St,Bloomington,IL,61702-2900,61020,61020,61020,49436,0,0,404,0,79,100,27418,3785,2216,494
Immaculata University,Immaculata University, ,1145 King Road,Immaculata,PA,19345,46000,46000,46000,33520,74,173,372,6,69,100,13062,1658,1339,193
Indiana Institute of Technology,Indiana Institute of Technology,Indiana Tech |IIT,1600 E Washington Blvd,Fort Wayne,IN,46803-1228,41116,39633,39633,32118,13,285,203,10,35,100,18528,3778,2387,434
Indiana State University,Indiana State University,Indiana State |ISU,210 N 7th St,Terre Haute,IN,47809,23146,23570,34316,12980,131,547,2014,0,41,93,9163,12861,11563,2402
Indiana University of Pennsylvania-Main Campus,Indiana University of Pennsylvania-Main Campus, ,1011 South Dr 201 Sutton Hall,Indiana,PA,15705-1098,28595,28595,34346,17153,100,641,2173,7,56,92,6970,9910,9216,2124
Indiana University-Bloomington,Indiana University-Bloomington,IUB | IU Bloomington,107 South Indiana Ave.,Bloomington,IN,47405-7000,24779,24779,49554,15929,714,2645,7482,3,78,77,11640,44169,33970,8097
Indiana University-East,Indiana University-East,IUE | IU East,2325 Chester Blvd,Richmond,IN,47374-1289,,19604,31660,12222,0,32,722,0,41,95,8297,1979,1284,455
Indiana University-Kokomo,Indiana University-Kokomo,IU Kokomo | IUK | IU KO,2300 S Washington St,Kokomo,IN,46902-9003,,19912,31968,12530,0,47,564,12,37,84,8325,2499,1999,639
Indiana University-Northwest,Indiana University-Northwest,IUN | IU Northwest,3400 Broadway,Gary,IN,46408-1197,,19604,31660,12222,0,80,560,47,34,86,8469,2182,1737,674
Indiana University-Purdue University-Indianapolis,Indiana University-Purdue University-Indianapolis,IUPUI,420 University Blvd,Indianapolis,IN,46202-5143,22537,24135,44491,14405,828,1714,4313,72,47,88,12224,13339,10820,4103
Indiana University-South Bend,Indiana University-South Bend,IUSB | IU SB | IU South Bend,1700 Mishawaka Ave,South Bend,IN,46615-7111,19966,19912,31968,12530,0,119,762,13,32,89,8147,3011,2466,929
Indiana University-Southeast,Indiana University-Southeast,IUSE | IU SE | IU Southeast,4201 Grant Line Rd,New Albany,IN,47150,20838,19912,31968,12530,0,116,855,8,32,85,7408,2794,2377,1012
Indiana Wesleyan University-Marion,Indiana Wesleyan University-Marion,IWU,4201 South Washington Street,Marion,IN,46953-4974,38578,37746,37746,33498,0,71,614,2,66,96,17281,4733,3232,718
Institute of American Indian and Alaska Native Culture and Arts Development,Institute of American Indian and Alaska Native Culture and Arts Development,Institute of American Indian Arts,83 Avan Nu Po Road,Santa Fe,NM,87508-1300,21384,26628,26628,12980,0,28,25,1,11,98,5525,188,188,62
Instituto Tecnologico de Puerto Rico-Recinto de Guayama,Instituto Tecnologico de Puerto Rico-Recinto de Guayama,Tecnologico / ITPR,Urb. Vives  Final Calle Paseo #2,Guayama,PR,00784-0000,,9125,9125,6625,,,,149,42,92,5142,469,407,238
Instituto Tecnologico de Puerto Rico-Recinto de Manati,Instituto Tecnologico de Puerto Rico-Recinto de Manati,ITEC-MANATI,State Road 2  Km.47.3,Manati,PR,00674-1091,,7025,7025,5025,,,,179,93,81,2385,294,246,244
Instituto Tecnologico de Puerto Rico-Recinto de Ponce,Instituto Tecnologico de Puerto Rico-Recinto de Ponce,Maria E. Archeval Salamo de Valdes,4820 Candido Hoyos Urb. Perla Del Sur,Ponce,PR,00717-0306,,8330,8330,3930,,,,149,67,77,6049,154,152,136
Instituto Tecnologico de Puerto Rico-Recinto de San Juan,Instituto Tecnologico de Puerto Rico-Recinto de San Juan, ,Calle Alegria Final Urb las Virtudes,San Juan,PR,924,,5605,5605,3605,,,,206,56,86,4465,174,171,158
Inter American University of Puerto Rico-Aguadilla,Inter American University of Puerto Rico-Aguadilla, ,Carr. 459 Int. 463  Barrio Corrales Sector Calero,Aguadilla,PR,603,,22019,22019,12755,0,73,410,158,40,98,5589,1748,811,797
Inter American University of Puerto Rico-Arecibo,Inter American University of Puerto Rico-Arecibo, ,Hwy 2 Km 80.4  Bo San Daniel Sector Las Canelas,Arecibo,PR,614,,21989,21989,12725,0,130,405,96,35,98,5003,2712,767,739
Inter American University of Puerto Rico-Barranquitas,Inter American University of Puerto Rico-Barranquitas, ,Bo Helechal Highway 156 Intersection 719,Barranquitas,PR,794,,22019,22019,12755,0,19,179,101,44,99,5252,946,380,367
Inter American University of Puerto Rico-Bayamon,Inter American University of Puerto Rico-Bayamon, ,500 Carr. Dr. John Will Harris,Bayamon,PR,00957-6257,,22057,22057,12793,0,30,397,14,31,93,4930,2920,897,874
Inter American University of Puerto Rico-Fajardo,Inter American University of Puerto Rico-Fajardo, ,Calle Union-Batey Central Highway 195,Fajardo,PR,00738-7003,,22057,22057,12793,0,43,195,21,30,93,5246,683,390,377
Inter American University of Puerto Rico-Guayama,Inter American University of Puerto Rico-Guayama, ,Bo Machete Highway 744 Km 1.2,Guayama,PR,784,,22019,22019,12755,0,12,191,92,35,94,5215,708,305,293
Inter American University of Puerto Rico-Metro,Inter American University of Puerto Rico-Metro, ,Highway #1 Km 16 3 Corner Francisco Sein St,San Juan,PR,919,,25454,25454,16190,42,490,855,110,33,90,5134,4055,727,652
Inter American University of Puerto Rico-Ponce,Inter American University of Puerto Rico-Ponce,Inter Ponce,104 Turpeaux Industrial Park Rd1,Mercedita,PR,00715-1602,,22031,22031,12767,0,50,547,156,44,98,5432,2865,789,771
Inter American University of Puerto Rico-San German,Inter American University of Puerto Rico-San German, ,Rd. 102 Km. 30.6,San German,PR,683,17986,22057,22057,12793,22,110,488,42,45,92,5266,2044,925,820
International Business College-Fort Wayne,International Business College-Fort Wayne,IBC,5699 Coventry Lane,Fort Wayne,IN,46804-7145,24786,22657,22657,17657,,,16,108,74,97,7252,415,275,62
International Business College-Indianapolis,International Business College-Indianapolis, ,7205 Shadeland Station,Indianapolis,IN,46256-3954,26049,23107,23107,18645,,,,139,69,95,7954,535,413,112
Iona College,Iona College, ,715 North Ave,New Rochelle,NY,10801-1890,57440,57440,57440,42662,0,319,590,0,67,100,22956,10062,8871,853
Iowa State University,Iowa State University,ISU,1750 Beardshear Hall,Ames,IA,50011-2103,21186,21186,35590,12466,537,1025,6605,0,75,89,7990,18855,17082,6047
Iowa Wesleyan University,Iowa Wesleyan University, ,601 N Main Street,Mount Pleasant,IA,52641,40173,40413,46313,29213,0,0,86,0,22,75,14383,3740,2170,170
Ithaca College,Ithaca College, ,953 Danby Road,Ithaca,NY,14850-7002,62757,62757,62757,48595,85,188,1383,0,79,97,26485,15278,10472,1666
IYRS School of Technology & Trades,IYRS School of Technology & Trades,IYRS,449 Thames St,Newport,RI,2840,,,,,,,,0,90,70,6544,63,17,17
Jackson State University,Jackson State University, ,1400 J R Lynch Street,Jackson,MS,39217,24029,20729,31957,14629,75,374,1109,0,43,70,9599,7680,5294,831
Jacksonville State University,Jacksonville State University, ,700 Pelham Road North,Jacksonville,AL,36265,19613,22026,29802,13460,8,311,1304,0,42,93,8167,6033,3276,1073
Jacksonville University,Jacksonville University,JU,2800 University Blvd N,Jacksonville,FL,32211-3394,54868,58626,58626,42934,24,428,706,0,53,98,30211,4298,3865,624
James Madison University,James Madison University,JMU,800 South Main Street,Harrisonburg,VA,22807,27356,27356,43756,16844,37,777,4412,0,84,63,8489,23149,16467,4541
Jameson Health System,Jameson Health System, ,1211 Wilmington Ave,New Castle,PA,16105-2595,,28254,28254,21294,,,,0,,,,4,4,2
Jamestown Business College,Jamestown Business College, ,7 Fairmount Ave,Jamestown,NY,14701-4756,,22848,22848,17465,0,0,31,99,49,100,12139,160,144,111
Jefferson College of Health Sciences,Jefferson College of Health Sciences, ,101 Elm Avenue SE,Roanoke,VA,24013,44536,45706,45706,36192,1,111,216,56,44,100,15473,838,251,66
Jefferson County Dubois Area Vocational Technical Practical Nursing Program,Jefferson County Dubois Area Vocational Technical Practical Nursing Program, ,576 Vo-Tech Road,Reynoldsville,PA,15851,,,,,,,,0,100,94,4602,22,18,14
Jersey College,Jersey College, ,546 U.S. Highway 46,Teterboro,NJ,7608,,,,,,,,577,43,81,4210,120,68,62
Jewish Theological Seminary of America,Jewish Theological Seminary of America, ,3080 Broadway,New York,NY,10027-4649,76848,76778,76778,58778,4,42,33,0,82,66,20947,139,65,31
JFK Muhlenberg Harold B. and Dorothy A. Snyder Schools-School of Nursing,JFK Muhlenberg Harold B. and Dorothy A. Snyder Schools-School of Nursing, ,1200 Park Ave and Randolph Rd,Plainfield,NJ,7061,34541,40560,46815,29541,,,,0,,100,2870,23,17,9
Joe Kubert School of Cartoon and Graphic Art,Joe Kubert School of Cartoon and Graphic Art, ,37 Myrtle Ave,Dover,NJ,7801,31114,29714,29714,22434,,,,0,77,67,4665,79,76,33
Joffrey Ballet School,Joffrey Ballet School, ,434 Ave of the Americas,New York,NY,10011,42525,40850,40850,26500,,,,0,7,95,4628,2932,1984,97
John A Gupton College,John A Gupton College, ,1616 Church St,Nashville,TN,37203-2954,22958,22958,22958,14958,,,,23,27,100,3937,43,30,18
John Brown University,John Brown University, ,2000 W University St,Siloam Springs,AR,72761,39802,33078,33078,30578,0,193,376,3,66,99,16444,1094,844,319
John Carroll University,John Carroll University,JCU |John Caroll University |John Carrol University |John Carol University |John Carroll College,1 John Carroll Boulevard,University Heights,OH,44118-4581,57464,57464,57464,45590,0,192,683,0,78,99,25732,4007,3336,844
John Paul the Great Catholic University,John Paul the Great Catholic University, ,155 W. Grand Ave,Escondido,CA,92025,43512,43512,43512,37788,0,38,50,0,64,97,12612,220,199,85
